open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2026-04-15 10:00:00+00:00,2319.95,2328.52,2312.15,2316.64,7926.8066,2026-04-15 10:59:59.999000+00:00,18385736.234985,133075,3619.21660000,8397291.48780400,0
2026-04-15 11:00:00+00:00,2316.65,2339.42,2316.65,2337.43,10421.2382,2026-04-15 11:59:59.999000+00:00,24287226.724252,124157,5089.17050000,11860981.41204500,0
2026-04-15 12:00:00+00:00,2337.42,2340.0,2329.66,2332.98,8755.6666,2026-04-15 12:59:59.999000+00:00,20448519.807918,121124,5271.86870000,12313907.12040200,0
2026-04-15 13:00:00+00:00,2332.97,2334.76,2317.54,2326.94,11829.0249,2026-04-15 13:59:59.999000+00:00,27514766.18186,212332,5525.78260000,12858581.66557900,0
2026-04-15 14:00:00+00:00,2326.93,2344.88,2321.94,2338.4,16587.6534,2026-04-15 14:59:59.999000+00:00,38731440.500857,236704,8459.91980000,19766147.23830000,0
2026-04-15 15:00:00+00:00,2338.41,2349.46,2320.77,2332.04,18184.4927,2026-04-15 15:59:59.999000+00:00,42447863.383553,242751,7850.42210000,18328179.30324700,0
2026-04-15 16:00:00+00:00,2332.03,2349.87,2329.1,2341.48,11622.9701,2026-04-15 16:59:59.999000+00:00,27208925.738366,209137,6078.29370000,14229283.28016600,0
2026-04-15 17:00:00+00:00,2341.48,2358.82,2339.65,2348.66,16815.8182,2026-04-15 17:59:59.999000+00:00,39483567.794414,200240,8060.13400000,18932867.67807400,0
2026-04-15 18:00:00+00:00,2348.66,2359.96,2346.34,2358.66,10732.0648,2026-04-15 18:59:59.999000+00:00,25256240.87367,169894,4419.01930000,10400765.95159700,0
2026-04-15 19:00:00+00:00,2358.66,2385.61,2357.37,2375.05,20867.7512,2026-04-15 19:59:59.999000+00:00,49491510.3714,253764,9635.12550000,22851887.70260500,0
2026-04-15 20:00:00+00:00,2375.05,2376.31,2353.72,2362.95,11389.336,2026-04-15 20:59:59.999000+00:00,26907284.206365,156123,4592.49070000,10846431.69776700,0
2026-04-15 21:00:00+00:00,2362.95,2363.5,2348.58,2361.3,9619.6481,2026-04-15 21:59:59.999000+00:00,22661663.745641,114065,5076.30900000,11959729.87228400,0
2026-04-15 22:00:00+00:00,2361.29,2380.45,2360.33,2363.45,17952.2343,2026-04-15 22:59:59.999000+00:00,42570202.147304,174144,8675.38670000,20572698.22212400,0
2026-04-15 23:00:00+00:00,2363.46,2363.46,2349.6,2359.95,13652.1034,2026-04-15 23:59:59.999000+00:00,32162759.13757,113776,4622.91350000,10891278.29077400,0
2026-04-16 00:00:00+00:00,2359.94,2363.54,2349.93,2360.58,5089.6025,2026-04-16 00:59:59.999000+00:00,11996522.09654,106875,2313.08620000,5452257.25611300,0
2026-04-16 01:00:00+00:00,2360.58,2360.58,2345.04,2352.06,5778.7342,2026-04-16 01:59:59.999000+00:00,13589187.745374,106123,2327.65090000,5473674.89104800,0
2026-04-16 02:00:00+00:00,2352.06,2369.59,2350.01,2356.68,8626.0775,2026-04-16 02:59:59.999000+00:00,20359265.352082,144070,3982.46340000,9398087.42332200,0
2026-04-16 03:00:00+00:00,2356.67,2365.88,2355.91,2357.86,4878.3062,2026-04-16 03:59:59.999000+00:00,11515256.030378,88843,2362.41080000,5577375.13154900,0
2026-04-16 04:00:00+00:00,2357.85,2364.0,2348.38,2354.13,6478.9831,2026-04-16 04:59:59.999000+00:00,15269312.224765,95249,2662.99980000,6276930.54838100,0
2026-04-16 05:00:00+00:00,2354.14,2361.79,2349.59,2356.86,7640.4611,2026-04-16 05:59:59.999000+00:00,18003332.240166,77317,4209.88850000,9919194.19765000,0
2026-04-16 06:00:00+00:00,2356.86,2360.57,2349.77,2356.01,6083.5709,2026-04-16 06:59:59.999000+00:00,14327334.999857,67829,3145.84900000,7408434.49562300,0
2026-04-16 07:00:00+00:00,2356.02,2357.56,2335.72,2341.52,12827.0905,2026-04-16 07:59:59.999000+00:00,30106191.341259,101445,5474.35670000,12849745.34233400,0
2026-04-16 08:00:00+00:00,2341.52,2345.98,2334.65,2339.11,9100.1126,2026-04-16 08:59:59.999000+00:00,21291703.866196,97871,4145.34990000,9699383.53727100,0
2026-04-16 09:00:00+00:00,2339.12,2348.4,2337.79,2338.09,10880.1782,2026-04-16 09:59:59.999000+00:00,25485797.275973,95439,4982.58560000,11665623.39807800,0
2026-04-16 10:00:00+00:00,2338.09,2340.21,2328.64,2332.42,12442.8726,2026-04-16 10:59:59.999000+00:00,29031038.152864,130086,6479.25400000,15115521.84155700,0
2026-04-16 11:00:00+00:00,2332.42,2336.26,2329.8,2335.67,6294.7818,2026-04-16 11:59:59.999000+00:00,14685427.173958,73516,3666.85710000,8555263.51812400,0
2026-04-16 12:00:00+00:00,2335.68,2349.45,2334.99,2340.44,8984.2195,2026-04-16 12:59:59.999000+00:00,21032296.934124,97123,4566.96340000,10693943.42645000,0
2026-04-16 13:00:00+00:00,2340.44,2351.8,2290.57,2308.29,42907.1349,2026-04-16 13:59:59.999000+00:00,99616265.238943,385849,20980.16820000,48716982.60316200,0
2026-04-16 14:00:00+00:00,2308.28,2316.34,2285.1,2309.97,39904.1263,2026-04-16 14:59:59.999000+00:00,91835585.233339,409334,17424.14450000,40105947.14323600,0
2026-04-16 15:00:00+00:00,2309.96,2349.84,2308.5,2339.01,30320.2111,2026-04-16 15:59:59.999000+00:00,70656392.316309,326371,17666.80670000,41182654.82006800,0
2026-04-16 16:00:00+00:00,2339.01,2348.69,2309.96,2316.76,22375.2714,2026-04-16 16:59:59.999000+00:00,52134171.952769,289721,10360.88230000,24155874.57988700,0
2026-04-16 17:00:00+00:00,2316.77,2329.48,2310.0,2325.79,11322.7343,2026-04-16 17:59:59.999000+00:00,26279100.351028,207212,5692.21400000,13214186.73485200,0
2026-04-16 18:00:00+00:00,2325.8,2346.66,2320.4,2343.1,19719.0157,2026-04-16 18:59:59.999000+00:00,46025175.998975,240320,8299.02340000,19357561.53357900,0
2026-04-16 19:00:00+00:00,2343.11,2361.96,2334.66,2359.7,19102.8217,2026-04-16 19:59:59.999000+00:00,44875082.924338,214341,9420.05180000,22143616.83537000,0
2026-04-16 20:00:00+00:00,2359.69,2364.68,2341.51,2350.23,17899.2598,2026-04-16 20:59:59.999000+00:00,42146433.330919,149417,6953.01380000,16374174.98984200,0
2026-04-16 21:00:00+00:00,2350.23,2356.53,2336.25,2341.17,7555.301,2026-04-16 21:59:59.999000+00:00,17713506.448966,94618,2839.88070000,6660358.65775100,0
2026-04-16 22:00:00+00:00,2341.18,2350.56,2339.3,2342.6,7404.2463,2026-04-16 22:59:59.999000+00:00,17354544.974292,108820,3270.43720000,7666556.09388600,0
2026-04-16 23:00:00+00:00,2342.59,2355.0,2341.61,2348.17,5345.8245,2026-04-16 23:59:59.999000+00:00,12553801.689849,85421,2695.90600000,6330858.03209800,0
2026-04-17 00:00:00+00:00,2348.16,2350.9,2341.0,2344.4,5096.9585,2026-04-17 00:59:59.999000+00:00,11953487.369844,97890,2337.78750000,5482559.14356700,0
2026-04-17 01:00:00+00:00,2344.39,2349.0,2327.34,2335.38,9065.6351,2026-04-17 01:59:59.999000+00:00,21170250.703983,105448,4257.51400000,9940243.93442800,0
2026-04-17 02:00:00+00:00,2335.37,2338.74,2324.93,2331.75,3963.8143,2026-04-17 02:59:59.999000+00:00,9236282.119846,63573,1683.03990000,3922328.81762900,0
