trade_id,strategy,direction,entry_time,entry_price,exit_time,exit_price,duration_bars,duration_hours,invested_usd,realized_pnl_usd,realized_pnl_pct,portfolio_after,exit_reason
94,EMA_SAR_207_224,SHORT,2026-05-06T06:05,2364.87,2026-05-06T08:25,2377.67,28,2.33,10297.45,-55.74,-0.54,10241.71,Signal Flip
95,EMA_SAR_207_224,LONG,2026-05-06T08:25,2377.67,2026-05-06T17:30,2352.61,109,9.08,10241.71,-107.92,-1.05,10133.79,Signal Flip
96,EMA_SAR_207_224,SHORT,2026-05-06T17:30,2352.61,2026-05-08T20:05,2315.59,607,50.58,10133.79,159.49,1.57,10293.28,Signal Flip
97,EMA_SAR_207_224,LONG,2026-05-08T20:05,2315.59,2026-05-11T10:50,2331.88,753,62.75,10293.28,72.44,0.7,10365.72,Signal Flip
98,EMA_SAR_207_224,SHORT,2026-05-11T10:50,2331.88,2026-05-11T23:00,2342.6,146,12.17,10365.72,-47.64,-0.46,10318.08,Signal Flip
99,EMA_SAR_207_224,LONG,2026-05-11T23:00,2342.6,2026-05-12T01:10,2327.35,26,2.17,10318.08,-67.19,-0.65,10250.88,Signal Flip
100,EMA_SAR_207_224,SHORT,2026-05-12T01:10,2327.35,2026-05-13T09:00,2317.81,382,31.83,10250.88,42.01,0.41,10292.89,Signal Flip
101,EMA_SAR_207_224,LONG,2026-05-13T09:00,2317.81,2026-05-13T14:05,2259.09,61,5.08,10292.89,-260.76,-2.53,10032.14,Signal Flip
102,EMA_SAR_207_224,SHORT,2026-05-13T14:05,2259.09,2026-05-14T16:30,2307.63,317,26.42,10032.14,-215.57,-2.15,9816.57,Signal Flip
103,EMA_SAR_207_224,LONG,2026-05-14T16:30,2307.63,2026-05-15T06:00,2244.28,162,13.5,9816.57,-269.51,-2.75,9547.05,Signal Flip
104,EMA_SAR_207_224,SHORT,2026-05-15T06:00,2244.28,2026-05-19T08:50,2137.82,1186,98.83,9547.05,452.87,4.74,9999.92,Signal Flip
105,EMA_SAR_207_224,LONG,2026-05-19T08:50,2137.82,2026-05-19T09:30,2114.84,8,0.67,9999.92,-107.47,-1.07,9892.45,Signal Flip
106,EMA_SAR_207_224,SHORT,2026-05-19T09:30,2114.84,2026-05-20T08:05,2131.91,271,22.58,9892.45,-79.82,-0.81,9812.63,Signal Flip
107,EMA_SAR_207_224,LONG,2026-05-20T08:05,2131.91,2026-05-21T11:55,2115.48,334,27.83,9812.63,-75.59,-0.77,9737.04,Signal Flip
108,EMA_SAR_207_224,SHORT,2026-05-21T11:55,2115.48,2026-05-21T18:40,2139.27,81,6.75,9737.04,-109.49,-1.12,9627.55,Signal Flip
109,EMA_SAR_207_224,LONG,2026-05-21T18:40,2139.27,2026-05-21T19:00,2125.81,4,0.33,9627.55,-60.59,-0.63,9566.96,Signal Flip
110,EMA_SAR_207_224,SHORT,2026-05-21T19:00,2125.81,2026-05-21T19:15,2134.01,3,0.25,9566.96,-36.9,-0.39,9530.06,Signal Flip
111,EMA_SAR_207_224,LONG,2026-05-21T19:15,2134.01,2026-05-22T08:40,2124.56,161,13.42,9530.06,-42.2,-0.44,9487.86,Signal Flip
112,EMA_SAR_207_224,SHORT,2026-05-22T08:40,2124.56,2026-05-23T21:50,2113.64,446,37.17,9487.86,48.77,0.51,9536.63,Signal Flip
113,EMA_SAR_207_224,LONG,2026-05-23T21:50,2113.64,2026-05-24T21:55,2071.21,289,24.08,9536.63,-191.41,-2.01,9345.23,Signal Flip
114,EMA_SAR_207_224,SHORT,2026-05-24T21:55,2071.21,2026-05-25T07:00,2110.05,109,9.08,9345.23,-175.25,-1.88,9169.98,Signal Flip
115,EMA_SAR_207_224,LONG,2026-05-25T07:00,2110.05,2026-05-26T01:50,2093.35,226,18.83,9169.98,-72.58,-0.79,9097.4,Signal Flip
116,EMA_SAR_207_224,SHORT,2026-05-26T01:50,2093.35,2026-05-26T13:05,2125.24,135,11.25,9097.4,-138.59,-1.52,8958.81,Signal Flip
117,EMA_SAR_207_224,LONG,2026-05-26T13:05,2125.24,2026-05-26T16:20,2082.34,39,3.25,8958.81,-180.86,-2.02,8777.95,Signal Flip
118,EMA_SAR_207_224,SHORT,2026-05-26T16:20,2082.34,2026-05-29T16:40,2041.69,868,72.33,8777.95,171.35,1.95,8949.3,Signal Flip
119,EMA_SAR_207_224,LONG,2026-05-29T16:40,2041.69,2026-05-31T14:35,2011.05,551,45.92,8949.3,-134.29,-1.5,8815.01,Signal Flip
120,EMA_SAR_207_224,SHORT,2026-05-31T14:35,2011.05,2026-06-07T05:50,1605.01,1911,159.25,8815.01,1779.8,20.19,10594.81,Signal Flip
121,EMA_SAR_207_224,LONG,2026-06-07T05:50,1605.01,2026-06-09T14:20,1647.19,678,56.5,10594.81,278.39,2.63,10873.2,Signal Flip
122,EMA_SAR_207_224,SHORT,2026-06-09T14:20,1647.19,2026-06-11T05:30,1650.08,470,39.17,10873.2,-19.13,-0.18,10854.07,Signal Flip
123,EMA_SAR_207_224,LONG,2026-06-11T05:30,1650.08,2026-06-13T05:20,1663.59,574,47.83,10854.07,88.82,0.82,10942.89,Signal Flip
124,EMA_SAR_207_224,SHORT,2026-06-13T05:20,1663.59,2026-06-13T07:40,1674.52,28,2.33,10942.89,-71.89,-0.66,10871.0,Signal Flip
125,EMA_SAR_207_224,LONG,2026-06-13T07:40,1674.52,2026-06-14T12:50,1667.08,350,29.17,10871.0,-48.31,-0.44,10822.69,Signal Flip
126,EMA_SAR_207_224,SHORT,2026-06-14T12:50,1667.08,2026-06-14T22:15,1721.85,113,9.42,10822.69,-355.6,-3.29,10467.1,Signal Flip
127,EMA_SAR_207_224,LONG,2026-06-14T22:15,1721.85,2026-06-17T09:10,1768.21,707,58.92,10467.1,281.79,2.69,10748.89,Signal Flip
128,EMA_SAR_207_224,SHORT,2026-06-17T09:10,1768.21,2026-06-20T04:25,1711.13,807,67.25,10748.89,346.99,3.23,11095.88,Signal Flip
129,EMA_SAR_207_224,LONG,2026-06-20T04:25,1711.13,2026-06-21T17:40,1725.5,447,37.25,11095.88,93.19,0.84,11189.07,Signal Flip
130,EMA_SAR_207_224,SHORT,2026-06-21T17:40,1725.5,2026-06-21T19:05,1735.87,17,1.42,11189.07,-67.25,-0.6,11121.82,Signal Flip
131,EMA_SAR_207_224,LONG,2026-06-21T19:05,1735.87,2026-06-21T21:10,1704.77,25,2.08,11121.82,-199.26,-1.79,10922.56,Signal Flip
132,EMA_SAR_207_224,SHORT,2026-06-21T21:10,1704.77,2026-06-22T03:20,1738.15,74,6.17,10922.56,-213.88,-1.96,10708.68,Signal Flip
133,EMA_SAR_207_224,LONG,2026-06-22T03:20,1738.15,2026-06-22T23:05,1724.62,237,19.75,10708.68,-83.37,-0.78,10625.32,Signal Flip
134,EMA_SAR_207_224,SHORT,2026-06-22T23:05,1724.62,2026-06-27T00:20,1579.84,1167,97.25,10625.32,891.97,8.39,11517.29,Signal Flip
135,EMA_SAR_207_224,LONG,2026-06-27T00:20,1579.84,2026-06-28T01:30,1574.77,302,25.17,11517.29,-36.94,-0.32,11480.35,Signal Flip
136,EMA_SAR_207_224,SHORT,2026-06-28T01:30,1574.77,2026-06-29T07:35,1581.03,361,30.08,11480.35,-45.62,-0.4,11434.73,Signal Flip
137,EMA_SAR_207_224,LONG,2026-06-29T07:35,1581.03,2026-06-29T15:10,1566.24,91,7.58,11434.73,-106.99,-0.94,11327.73,Signal Flip
138,EMA_SAR_207_224,SHORT,2026-06-29T15:10,1566.24,2026-06-29T16:05,1581.09,11,0.92,11327.73,-107.43,-0.95,11220.3,Signal Flip
139,EMA_SAR_207_224,LONG,2026-06-29T16:05,1581.09,2026-06-30T11:00,1583.73,227,18.92,11220.3,18.72,0.17,11239.02,Signal Flip
140,EMA_SAR_207_224,SHORT,2026-06-30T11:00,1583.73,2026-06-30T23:55,1572.8,155,12.92,11239.02,77.58,0.69,11316.6,End of Period Settlement
